work_year,salary,salary_in_usd,job_title,job_category,salary_currency,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022.0,186597.0,136086.0,Machine Learning Engineer  in office,Analysis,EUR,US,MI,CT,Remote,DE,L
2020.0,110630.0,67982.0,Statistician  (Remote),ML/AI,JPY,JP,EX,FL,Remote,IN,M
2022.0,61280.0,153309.0,Machine Learning Engineer  ,ML/AI,INR,UK,MI,CT,Hybrid,CN,L
2022.0,154130.0,135242.0,Data Analyst  in office,ML/AI,JPY,DE,SE,FT,Hybrid,MX,L
2020.0,172312.0,35156.0,Statistician  ,Data Science,EUR,UK,MI,FT,In-person,UK,S
2020.0,36544.0,68280.0,Machine Learning Engineer  ,Engineering,JPY,CN,MI,FT,Hybrid,DE,M
2022.0,178404.0,105324.0,Data Analyst  in office,Data Science,JPY,DE,EX,PT,Remote,DE,L
2021.0,187908.0,90706.0,Data Scientist  (Remote),ML/AI,JPY,UK,EX,CT,Remote,JP,M
2022.0,-44388.0,171043.0,Data Analyst  ,Data Science,EUR,UK,SE,FL,In-person,DE,S
2022.0,31694.0,73408.0,Statistician  (Remote),Engineering,us dolars,DE,EN,CT,Remote,US,S
2022.0,157727.0,167559.0,Data Engineer  in office,Data Science,us dolars,US,SE,FL,Hybrid,US,S
2022.0,118202.0,50997.0,Data Scientist  ,Data Science,INR,MX,EX,FL,In-person,UK,M
2020.0,143057.0,76456.0,Machine Learning Engineer  (Remote),Data Science,EUR,MX,SE,FL,In-person,DE,S
2022.0,79294.0,160865.0,Statistician  ,Engineering,us dolars,JP,EN,CT,In-person,JP,M
2021.0,68769.0,107988.0,Data Engineer  ,Analysis,JPY,JP,EN,FT,Hybrid,CN,M
2020.0,143289.0,110908.0,Data Analyst  ,Engineering,JPY,MX,EX,PT,In-person,UK,M
2021.0,132885.0,107952.0,Data Engineer  in office,Analysis,JPY,US,EX,PT,In-person,IN,L
2021.0,67855.0,114784.0,Statistician  (Remote),ML/AI,JPY,UK,SE,FT,Remote,JP,M
2021.0,162532.0,189266.0,Statistician  ,ML/AI,GBP,JP,EX,PT,Remote,IN,L
2021.0,77646.0,194857.0,Data Engineer  (Remote),Data Science,INR,US,EX,FL,In-person,UK,L
2020.0,170907.0,88676.0,Data Analyst  in office,ML/AI,EUR,US,EX,PT,Hybrid,US,L
2020.0,143947.0,38373.0,Data Engineer  ,ML/AI,EUR,JP,SE,CT,Hybrid,JP,M
2021.0,40910.0,191355.0,Statistician  ,Analysis,us dolars,MX,MI,FT,Hybrid,CN,S
2021.0,-112757.0,124951.0,Statistician  ,Data Science,EUR,DE,SE,FT,Hybrid,JP,S
2020.0,38463.0,56414.0,Machine Learning Engineer  (Remote),Engineering,EUR,IN,EN,FT,Remote,UK,M
2020.0,174408.0,175450.0,Machine Learning Engineer  (Remote),Data Science,INR,MX,MI,FT,Hybrid,JP,M
2020.0,56534.0,147139.0,Data Scientist  ,Data Science,EUR,DE,SE,CT,Hybrid,JP,S
2022.0,163441.0,113872.0,Statistician  (Remote),Engineering,us dolars,MX,SE,FL,In-person,UK,L
